"site","transect","depth","season","n_photos","total_points","brown_algae_encrusting","brown_algae_filamentous","brown_algae_fucus","brown_algae_sargassum","green_algae_filamentous","green_algae_ulva","kelp_five_rib","kelp_bull_blade","kelp_holdfast","kelp_sieve","kelp_stipe","kelp_sugar","mobile_species","red_algae_cca","red_algae_branching","red_algae_bushy","red_algae_encrusting","red_algae_filamentous","red_algae_flat_leaf","sessile_invertebrates","kelp_bryozoan","anthropogenic","boulder","cobble","pebble","sand_fine_shell","shell_hash","silt","wood_debris","unknown_area"
"Centennial_Park",1,"deep","summer",70,3500,0,18,6,5,0,331,6,0,13,2,2,901,14,0,72,28,0,44,99,0,10,0,41,175,1341,37,13,335,1,5
"Centennial_Park",1,"deep","winter",62,3100,0,25,3,1,0,25,0,0,7,5,0,24,55,1,51,6,0,40,33,0,0,3,44,198,1880,22,16,653,4,4
"Centennial_Park",2,"deep","summer",72,3600,0,9,0,0,0,159,19,0,2,0,0,218,18,0,6,27,0,27,36,0,10,0,35,109,1435,74,10,1265,0,141
"Centennial_Park",2,"deep","winter",60,3000,0,11,0,0,0,14,0,0,1,0,0,5,2,0,3,6,0,4,8,0,0,0,13,99,1750,97,12,968,4,3
"Centennial_Park",3,"deep","summer",48,2400,0,0,0,0,0,253,4,7,1,0,1,194,10,0,1,29,0,14,40,0,8,0,30,107,1544,19,6,109,0,23
"Centennial_Park",3,"deep","winter",60,3000,0,0,0,0,0,5,0,0,0,0,0,0,4,0,4,5,0,4,7,0,0,0,16,116,2254,40,23,501,0,21
"Centennial_Park",4,"shallow","summer",61,3050,0,46,0,65,3,1272,35,0,0,8,0,429,7,0,19,52,0,47,136,0,3,0,72,160,384,86,1,216,0,1
"Centennial_Park",4,"shallow","winter",64,3200,0,26,0,15,0,63,3,0,1,0,1,20,6,2,18,82,0,0,12,0,0,0,95,178,1261,656,6,753,0,2
"Centennial_Park",5,"shallow","summer",75,3750,0,16,0,55,0,1702,4,0,1,0,5,245,2,0,262,176,0,116,343,1,0,2,100,149,172,63,3,191,0,142
"Centennial_Park",5,"shallow","winter",66,3300,0,51,0,50,0,68,1,0,0,0,0,40,13,0,52,110,0,27,65,1,0,0,174,267,638,133,15,1586,0,9
"Centennial_Park",6,"shallow","summer",72,3600,0,0,0,99,0,1201,56,1,2,0,8,342,11,1,342,135,0,145,241,0,5,1,82,93,302,385,5,96,0,47
"Centennial_Park",6,"shallow","winter",63,3150,0,50,0,15,0,80,0,0,0,0,0,61,5,0,117,122,0,62,78,0,0,0,61,175,772,839,4,691,0,18
"Elliott_Bay_Marina",1,"deep","summer",38,1900,3,6,0,0,0,0,0,1,3,1268,1,11,2,84,62,0,0,47,10,0,0,0,331,28,5,0,0,0,0,38
"Elliott_Bay_Marina",1,"deep","winter",60,3000,15,71,0,0,0,1,0,0,11,1187,0,0,4,213,69,0,2,79,13,12,0,0,977,40,64,134,4,14,6,84
"Elliott_Bay_Marina",2,"deep","summer",37,1850,0,21,0,0,0,0,1,0,1,1217,1,0,2,50,50,0,0,35,36,0,0,0,337,1,1,20,4,2,0,71
"Elliott_Bay_Marina",2,"deep","winter",60,3000,3,62,0,0,0,0,0,0,4,916,0,0,9,181,39,2,0,94,35,0,0,1,1264,25,5,69,12,24,2,253
"Elliott_Bay_Marina",3,"deep","summer",63,3150,9,0,0,0,0,10,5,9,4,1906,4,0,6,112,164,11,0,208,88,1,0,39,491,23,2,9,9,3,0,37
"Elliott_Bay_Marina",3,"deep","winter",58,2900,3,170,0,0,0,0,0,0,0,737,1,0,5,305,181,0,0,294,84,3,0,0,828,70,19,38,45,43,2,72
"Elliott_Bay_Marina",4,"shallow","summer",60,3000,0,48,4,339,4,243,1,1,1,142,4,13,26,222,416,7,1,55,180,0,0,0,1083,19,4,9,0,4,0,174
"Elliott_Bay_Marina",4,"shallow","winter",58,2900,11,133,0,0,1,1,0,0,0,0,0,0,28,298,550,2,1,160,157,0,0,0,1391,8,7,56,0,1,0,95
"Elliott_Bay_Marina",5,"shallow","summer",56,2800,2,10,0,31,0,139,1,0,3,159,21,7,15,419,184,6,0,46,169,0,0,14,1151,0,0,101,0,15,8,299
"Elliott_Bay_Marina",5,"shallow","winter",56,2800,0,51,0,8,0,0,0,0,0,0,0,0,11,235,402,0,2,167,132,0,0,0,1468,5,1,72,3,6,0,237
"Elliott_Bay_Marina",6,"shallow","summer",59,2950,9,43,1,5,0,486,2,0,0,82,6,14,8,456,473,1,1,25,189,0,0,1,1052,13,4,3,0,0,0,76
"Elliott_Bay_Marina",6,"shallow","winter",58,2900,4,229,0,0,0,0,0,0,0,19,1,0,18,568,272,0,0,347,156,2,0,16,815,21,0,86,105,0,6,235
