image_name,midpoint_row,midpoint_column,left_column,right_column,top_row,bottom_row,patch_size,label_code,label_name,machine_prediction,confidence
image_1.jpg,312,312,200,424,200,424,224,GR_ulva,green_algae_ulva,GR_ulva,0.913
image_1.jpg,690,312,200,424,578,802,224,GR_ulva,green_algae_ulva,GR_ulva,0.946
image_1.jpg,1068,312,200,424,956,1180,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,1447,312,200,424,1335,1559,224,SU_sand,sand_fine_shell,manual_update,1
image_1.jpg,1825,312,200,424,1713,1937,224,GR_ulva,green_algae_ulva,GR_ulva,0.993
image_1.jpg,2204,312,200,424,2092,2316,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,2582,312,200,424,2470,2694,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,2961,312,200,424,2849,3073,224,RE_leaf,red_algae_flat_leaf,manual_update,1
image_1.jpg,3339,312,200,424,3227,3451,224,RE_leaf,red_algae_flat_leaf,manual_update,1
image_1.jpg,3718,312,200,424,3606,3830,224,SU_peb,pebble,manual_update,1
image_1.jpg,312,754,642,866,200,424,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,690,754,642,866,578,802,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,1068,754,642,866,956,1180,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,1447,754,642,866,1335,1559,224,SU_bould,boulder,manual_update,1
image_1.jpg,1825,754,642,866,1713,1937,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,2204,754,642,866,2092,2316,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,2582,754,642,866,2470,2694,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,2961,754,642,866,2849,3073,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,3339,754,642,866,3227,3451,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,3718,754,642,866,3606,3830,224,GR_ulva,green_algae_ulva,GR_ulva,0.99
image_1.jpg,312,1196,1084,1308,200,424,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,690,1196,1084,1308,578,802,224,GR_ulva,green_algae_ulva,GR_ulva,1
image_1.jpg,1068,1196,1084,1308,956,1180,224,RE_bush,red_algae_bushy,RE_bush,1
image_1.jpg,1447,1196,1084,1308,1335,1559,224,RE_bush,red_algae_bushy,RE_bush,1
image_1.jpg,1825,1196,1084,1308,1713,1937,224,RE_bush,red_algae_bushy,RE_bush,1
image_1.jpg,2204,1196,1084,1308,2092,2316,224,RE_bush,red_algae_bushy,RE_bush,1
image_1.jpg,2582,1196,1084,1308,2470,2694,224,RE_bush,red_algae_bushy,RE_bush,1
image_1.jpg,2961,1196,1084,1308,2849,3073,224,GR_ulva,green_algae_ulva,GR_ulva,0.998
