image_name,midpoint_row,midpoint_column,left_column,right_column,top_row,bottom_row,patch_size,label_code,label_name,machine_prediction,confidence
2024_10_08_11-45-00.jpg,3539,4340,4228,4452,3427,3651,224,KE_sugar,kelp_sugar,manual_update,1
2024_10_08_11-45-00.jpg,1723,3139,3027,3251,1611,1835,224,KE_sugar,kelp_sugar,manual_update,1
2024_10_08_11-45-00.jpg,3111,1402,1290,1514,2999,3223,224,SU_peb,pebble,manual_update,1
2024_10_08_11-45-00.jpg,1651,2636,2524,2748,1539,1763,224,KE_sugar,kelp_sugar,KE_sugar,1
2024_10_08_11-45-00.jpg,2632,235,123,347,2520,2744,224,KE_sugar,kelp_sugar,KE_sugar,0.995
2024_10_08_11-45-00.jpg,2798,580,468,692,2686,2910,224,KE_sugar,kelp_sugar,KE_sugar,1
2024_10_08_11-45-00.jpg,1992,1024,912,1136,1880,2104,224,SU_peb,pebble,manual_update,1
2024_10_08_11-45-00.jpg,2381,4483,4371,4595,2269,2493,224,KE_sugar,kelp_sugar,manual_update,1
2024_10_08_11-45-00.jpg,3748,3020,2908,3132,3636,3860,224,RE_fil,red_algae_filamentous,RE_fil,1
2024_10_08_11-45-00.jpg,336,3009,2897,3121,224,448,224,SU_silt,silt,SU_silt,0.916
2024_10_08_11-45-00.jpg,2089,4133,4021,4245,1977,2201,224,RE_fil,red_algae_filamentous,RE_fil,0.98
2024_10_08_11-45-00.jpg,2475,3329,3217,3441,2363,2587,224,GR_ulva,green_algae_ulva,GR_ulva,0.999
2024_10_08_11-45-00.jpg,2145,3106,2994,3218,2033,2257,224,SU_bould,boulder,manual_update,1
2024_10_08_11-45-00.jpg,3140,2241,2129,2353,3028,3252,224,RE_branch,red_algae_branching,manual_update,1
2024_10_08_11-45-00.jpg,3453,752,640,864,3341,3565,224,SU_silt,silt,manual_update,1
2024_10_08_11-45-00.jpg,2479,681,569,793,2367,2591,224,KE_sugar,kelp_sugar,manual_update,1
2024_10_08_11-45-00.jpg,2386,1597,1485,1709,2274,2498,224,GR_ulva,green_algae_ulva,GR_ulva,1
2024_10_08_11-45-00.jpg,1669,3910,3798,4022,1557,1781,224,SU_silt,silt,SU_silt,1
2024_10_08_11-45-00.jpg,1541,4316,4204,4428,1429,1653,224,SU_silt,silt,manual_update,1
2024_10_08_11-45-00.jpg,3126,1907,1795,2019,3014,3238,224,GR_ulva,green_algae_ulva,GR_ulva,1
2024_10_08_11-45-00.jpg,2709,1904,1792,2016,2597,2821,224,GR_ulva,green_algae_ulva,GR_ulva,1
2024_10_08_11-45-00.jpg,1795,1309,1197,1421,1683,1907,224,GR_ulva,green_algae_ulva,GR_ulva,0.983
2024_10_08_11-45-00.jpg,1284,296,184,408,1172,1396,224,GR_ulva,green_algae_ulva,GR_ulva,0.999
2024_10_08_11-45-00.jpg,2095,2728,2616,2840,1983,2207,224,KE_sugar,kelp_sugar,manual_update,1
2024_10_08_11-45-00.jpg,2369,1717,1605,1829,2257,2481,224,GR_ulva,green_algae_ulva,GR_ulva,1
2024_10_08_11-45-00.jpg,1502,1803,1691,1915,1390,1614,224,GR_ulva,green_algae_ulva,GR_ulva,1
2024_10_08_11-45-00.jpg,3755,1929,1817,2041,3643,3867,224,SU_peb,pebble,SU_peb,0.999
2024_10_08_11-45-00.jpg,1397,113,1,225,1285,1509,224,GR_ulva,green_algae_ulva,GR_ulva,1
2024_10_08_11-45-00.jpg,3363,3128,3016,3240,3251,3475,224,KE_sugar,kelp_sugar,manual_update,1
2024_10_08_11-45-00.jpg,3279,2812,2700,2924,3167,3391,224,RE_fil,red_algae_filamentous,RE_fil,1
2024_10_08_11-45-00.jpg,2475,2243,2131,2355,2363,2587,224,KE_sugar,kelp_sugar,KE_sugar,1
2024_10_08_11-45-00.jpg,3491,3474,3362,3586,3379,3603,224,RE_leaf,red_algae_flat_leaf,manual_update,1
2024_10_08_11-45-00.jpg,1758,819,707,931,1646,1870,224,GR_ulva,green_algae_ulva,GR_ulva,1
2024_10_08_11-45-00.jpg,1608,759,647,871,1496,1720,224,GR_ulva,green_algae_ulva,GR_ulva,1
2024_10_08_11-45-00.jpg,3039,4316,4204,4428,2927,3151,224,KE_sugar,kelp_sugar,KE_sugar,0.944
2024_10_08_11-45-00.jpg,2437,2949,2837,3061,2325,2549,224,GR_ulva,green_algae_ulva,manual_update,1
2024_10_08_11-45-00.jpg,481,3574,3462,3686,369,593,224,SU_silt,silt,SU_silt,1
2024_10_08_11-45-00.jpg,3230,3661,3549,3773,3118,3342,224,KE_sugar,kelp_sugar,manual_update,1
2024_10_08_11-45-00.jpg,940,119,7,231,828,1052,224,GR_ulva,green_algae_ulva,GR_ulva,1
2024_10_08_11-45-00.jpg,1102,2816,2704,2928,990,1214,224,GR_ulva,green_algae_ulva,manual_update,1
2024_10_08_11-45-00.jpg,3153,581,469,693,3041,3265,224,RE_leaf,red_algae_flat_leaf,manual_update,1
2024_10_08_11-45-00.jpg,3161,1730,1618,1842,3049,3273,224,SU_cob,cobble,manual_update,1
2024_10_08_11-45-00.jpg,1489,3632,3520,3744,1377,1601,224,KE_sugar,kelp_sugar,manual_update,1
2024_10_08_11-45-00.jpg,3482,4040,3928,4152,3370,3594,224,KE_sugar,kelp_sugar,KE_sugar,0.973
2024_10_08_11-45-00.jpg,679,1299,1187,1411,567,791,224,RE_branch,red_algae_branching,manual_update,1
2024_10_08_11-45-00.jpg,498,3450,3338,3562,386,610,224,SU_silt,silt,SU_silt,0.999
2024_10_08_11-45-00.jpg,403,457,345,569,291,515,224,KE_sugar,kelp_sugar,KE_sugar,0.956
2024_10_08_11-45-00.jpg,395,1813,1701,1925,283,507,224,GR_ulva,green_algae_ulva,GR_ulva,1
2024_10_08_11-45-00.jpg,1326,1246,1134,1358,1214,1438,224,GR_ulva,green_algae_ulva,GR_ulva,0.928
2024_10_08_11-45-00.jpg,796,4381,4269,4493,684,908,224,KE_sugar,kelp_sugar,KE_sugar,0.999
