"Site ID","Transect ID","Name","Date","season","pass","pass_source","site","transect","depth","Transect_ID","Time","ochre_mottled_star","burrowing_sea_cucumber","cancer_crab","green_white_urchin","kelp_crab","leather_star","plumose_anemone","california_sea_cucumber","blood_star","large_anemone","clam_siphon","scallop","brown_rockfish","creeping_pedal_sea_cucumber","flat_fish","gunnel_fish","helmet_crab","kelp_perch","lingcod","other_large_sculpin","painted_greenling","pile_perch","sharpnose_crab","shiner_perch","striped_seaperch"
"Centennial","T1","2024_10_08_10-08-11.jpg",2024-10-08,"summer","out","inferred_time","Centennial_Park",1,"deep","CNL_S24_T1","10:08:11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial","T1","2024_10_08_10-08-35.jpg",2024-10-08,"summer","out","matched","Centennial_Park",1,"deep","CNL_S24_T1","10:08:35",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial","T1","2024_10_08_10-09-17.jpg",2024-10-08,"summer","out","inferred_time","Centennial_Park",1,"deep","CNL_S24_T1","10:09:17",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial","T1","2024_10_08_10-09-53.jpg",2024-10-08,"summer","out","inferred_time","Centennial_Park",1,"deep","CNL_S24_T1","10:09:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Centennial","T1","2024_10_08_10-10-23.jpg",2024-10-08,"summer","out","matched","Centennial_Park",1,"deep","CNL_S24_T1","10:10:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Centennial","T1","2024_10_08_10-11-53.jpg",2024-10-08,"summer","out","matched","Centennial_Park",1,"deep","CNL_S24_T1","10:11:53",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial","T1","2024_10_08_10-12-02.jpg",2024-10-08,"summer","out","matched","Centennial_Park",1,"deep","CNL_S24_T1","10:12:02",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial","T1","2024_10_08_10-12-11.jpg",2024-10-08,"summer","out","matched","Centennial_Park",1,"deep","CNL_S24_T1","10:12:11",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial","T1","2024_10_08_10-12-20.jpg",2024-10-08,"summer","out","matched","Centennial_Park",1,"deep","CNL_S24_T1","10:12:20",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial","T1","2024_10_08_10-12-56.jpg",2024-10-08,"summer","out","matched","Centennial_Park",1,"deep","CNL_S24_T1","10:12:56",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial","T1","2024_10_08_10-13-08.jpg",2024-10-08,"summer","out","inferred_time","Centennial_Park",1,"deep","CNL_S24_T1","10:13:08",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial","T1","2024_10_08_10-13-17.jpg",2024-10-08,"summer","out","inferred_time","Centennial_Park",1,"deep","CNL_S24_T1","10:13:17",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial","T1","2024_10_08_10-13-44.jpg",2024-10-08,"summer","out","inferred_time","Centennial_Park",1,"deep","CNL_S24_T1","10:13:44",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centennial","T2","2024_10_08_10-36-34.jpg",2024-10-08,"summer","return","matched","Centennial_Park",1,"deep","CNL_S24_T1","10:36:34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Centennial","T2","2024_10_08_10-36-49.jpg",2024-10-08,"summer","return","inferred_time","Centennial_Park",1,"deep","CNL_S24_T1","10:36:49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
