Name,Path,Row,Column,Patch Size,Area,Perimeter,Annotation Type,Label,Long Label,Verified,Machine confidence 1,Machine suggestion 1,Machine confidence 2,Machine suggestion 2,Machine confidence 3,Machine suggestion 3,Machine confidence 4,Machine suggestion 4,Machine confidence 5,Machine suggestion 5,Units
2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2572,2880,224,50176.0,896.0,Patch,SU_peb,pebble,True,0.762,GR_ulva,0.179,SU_silt,0.036,SU_peb,0.011,SU_bould,0.006,KE_sugar,
2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,498,2252,224,50176.0,896.0,Patch,GR_ulva,green_algae_ulva,True,1.000,GR_ulva,0.000,KE_bull,0.000,KE_5rib,0.000,SU_peb,0.000,KE_stipe,
2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1622,1922,224,50176.0,896.0,Patch,RE_leaf,red_algae_flat_leaf,True,1.000,RE_leaf,0.000,GR_ulva,0.000,KE_sieve,0.000,RE_branch,0.000,MS,
2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,181,2157,224,50176.0,896.0,Patch,RE_leaf,red_algae_flat_leaf,True,0.981,RE_fil,0.014,KE_stipe,0.002,MS,0.002,RE_bush,0.001,KE_5rib,
2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,680,4102,224,50176.0,896.0,Patch,GR_ulva,green_algae_ulva,True,0.978,GR_ulva,0.006,SU_peb,0.005,SU_bould,0.004,SU_cob,0.003,KE_stipe,
2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,499,3783,224,50176.0,896.0,Patch,GR_ulva,green_algae_ulva,True,1.000,GR_ulva,0.000,KE_stipe,0.000,SU_bould,0.000,unknown,0.000,SU_peb,
2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1614,3275,224,50176.0,896.0,Patch,GR_ulva,green_algae_ulva,True,0.993,GR_ulva,0.004,SU_peb,0.002,KE_bull,0.001,MS,0.000,KE_stipe,
2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2221,2524,224,50176.0,896.0,Patch,SU_peb,pebble,True,0.965,GR_ulva,0.019,SU_peb,0.009,KE_bull,0.003,SI,0.001,MS,
2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,984,3094,224,50176.0,896.0,Patch,BR_sarg,brown_algae_sargassum,True,1.000,BR_sarg,0.000,SU_bould,0.000,KE_holdfas,0.000,RE_fil,0.000,KE_stipe,
2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,1566,827,224,50176.0,896.0,Patch,RE_fil,red_algae_filamentous,True,0.679,RE_fil,0.197,GR_ulva,0.088,KE_stipe,0.018,RE_bush,0.009,MS,
2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,3897,3029,224,50176.0,896.0,Patch,GR_ulva,green_algae_ulva,True,0.884,GR_ulva,0.056,KE_sieve,0.035,SU_silt,0.018,RE_leaf,0.002,KE_5rib,
2024_10_08_11-32-32.jpg,C:/Users/williamsm/Seattle Aquarium Dropbox/Coastal_Climate_Resilience/flights/HSIL/2024/2024_10_08_diver-ROV_Centennial_Park/downward/photos/transects/T4_shallow/testing/2024_10_08_11-32-32.jpg,2673,2171,224,50176.0,896.0,Patch,SU_bould,boulder,True,0.821,GR_ulva,0.089,SU_cob,0.045,MS,0.032,SU_bould,0.005,KE_bull,
